Manufacturer,Model,Part Number,Comments,Interfaces,Console Ports,Power Ports,Device Bays
Riverbed,CX5055,CX5055,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1","PS1, PS2",
Riverbed,CX1555,CX1555,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1","PS1, PS2",
Riverbed,CX3070,CX3070,,"LAN3_0, WAN3_0, LAN3_1, WAN3_1, Primary, Aux","Console, USB0, USB1","PS1, PS2",
Riverbed,CX7055,CX7055,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1","PS1, PS2",
Riverbed,CX555,CX555,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1",PS1,
Riverbed,CX570,CX570,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1",PS1,
Riverbed,CX755,CX755,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1",PS1,
Riverbed,CX7070,CX7070,,"LAN0_0, WAN0_0, LAN1_1, WAN1_1, Primary, Aux","Console, USB0, USB1","PS1, PS2",
Riverbed,CX770,CX770,,"LAN0_0, WAN0_0, LAN_0_1, WAN0_1, Primary, Aux","Console, USB0, USB1",PS1,
Reichle & De-Massari,"19 1U HD Patch Panel 48-Port, black, empty",R512721,"[Product Website](https://ecatalog.rdm.com/at/en/product/eCatalog-AT/Fiber-Optics/19-Patch-Panels/19-Patch-Panel-empty/R512721/19-1U-HD-Patch-Panel-48-Port,-black,-empty)",,,,
Good Connections,GC-N0078,,,,,Power 1,
Good Connections,GC-N0107,,,,,Power 1,
LevelOne,GEU-1629,GEU-1629,[Datasheet](https://download.level1.info/datasheet/GEU-1629-V1_SPEC_V1.0.pdf),"GigabitEthernet1, GigabitEthernet2, GigabitEthernet3, GigabitEthernet4, GigabitEthernet5, GigabitEthernet6, GigabitEthernet7, GigabitEthernet8, GigabitEthernet9, GigabitEthernet10, GigabitEthernet11, GigabitEthernet12, GigabitEthernet13, GigabitEthernet14, GigabitEthernet15, GigabitEthernet16, TenGigabitEthernet1, TenGigabitEthernet2, TenGigabitEthernet3, TenGigabitEthernet4",,PSU0,
Seagate Systems,Exos CORVAULT 4U106,R4106I2500T002,,,,,"A, B"
Seagate Systems,Exos CORVAULT SAS Controller,R4106I2500T002-controller,activ-activ velosCT Controller with 4x MiniSAS HD Ports,"SAS 0, SAS 1, SAS 2, SAS 3, management","manufacturer-do-not-use, serial",,
QNAP,TVS-EC1580MU-SAS-RP,TVS-EC1580MU-SAS-RP,[TVS-EC1580MU-SAS-RP product page](https://www.qnap.com/en/product/tvs-ec1580mu-sas-rp),"Adapter 1, Adapter 2, Adapter 3, Adapter 4",,,
QNAP,TS-469 Pro,TS-469 Pro,[TS-469 Pro Series Datasheet](https://www.qnap.com/en/product/ts-469 pro/specs/hardware),"Ethernet 1, Ethernet 2",,PSU,
QNAP,TS-432PXU-RP,TS-432PXU-RP,[TS-432PXU-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-432pxu-rp/specs/hardware),"eth0, eth1, eth2, eth3",,,
QNAP,TS-563,TS-563,[TS-563 | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-563/specs/hardware),"eth0, eth1",,PSU,
QNAP,TS-453D,TS-453d,[TS-453B | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-453d/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-432PXU,TS-432PXU,[TS-432PXU | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-432pxu/specs/hardware),"eth0, eth1, eth2, eth3",,PSU1,
QNAP,TS-883XU-RP,,[TS-883XU-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-883xu-rp/specs/hardware),"eth0, eth1, eth2, eth3",,,
QNAP,TS-832PXU-RP,TS-832PXU-RP,[TS-832PXU-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-832pxu-rp/specs/hardware),"eth0, eth1, eth2, eth3",,,
QNAP,TS-431X,TS-431X,[TS-431X | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-431x/specs/hardware),"eth0, eth1, sfpp0",,Power,
QNAP,TS-2483XU-RP,TS-2483XU-RP,[TS-2483XU-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-2483xu-rp/specs/hardware),"eth0, eth1, eth2, eth3",,,
QNAP,TS-253E-8G,TS-253E,[TS-253E | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-253e/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-233,TS-233,[TS-233 | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-233/specs/hardware),eth0,,Power,
QNAP,TS-439 Pro II,TS-439proII,[TS-439proII Series Datasheet](https://www.qnap.com/en/product/ts-439%20pro%20ii/specs/hardware),"Ethernet 1, Ethernet 2",,PSU 1,
QNAP,TS-1685,TS-1685-D1521-16G-550W,[TS-1685-D1521-16G-550W | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-1685/specs/hardware),"eth0, eth1, eth2, eth3, eth4, eth5, eth6",,PSU 1,
QNAP,TS-1283XU-RP,TS-1283XU-RP,[TS-1283XU-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-1283xu-rp/specs/hardware),"Adapter 1, Adapter 2, Adapter 3, Adapter 4, Adapter 5, Adapter 6",,"PSU 1, PSU 2",
QNAP,TS-251+,TS-251+,[TS-251+ | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-251+/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-412,TS-412,[TS-412 | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-412/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-231+,TS-231+,[TS-231+ | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-231+/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-873AeU,TS-873AeU,[TS-873AeU | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-873aeu/specs/hardware),"Adapter 1, Adapter 2",,PSU,
QNAP,TS-EC1280U,TS-EC1280U,[TS-EC1280U product page](https://www.qnap.com/en/product/ts-ec1280u),"Adapter 1, Adapter 2, Adapter 3, Adapter 4",,,
QNAP,TS-1263U-RP,TS-1263U-RP-4G,,"eth0, eth1, eth2, eth3, eth4",,"PSU 1, PSU 2",
QNAP,TS-231,TS-231,[TS-231 | Hardware Specs | QNAP](https://www.qnap.com/de-de/product/ts-253a/specs/hardware),"eth0, eth1",,Power,
QNAP,TS-469U-RP,TS-469U-RP,[TS-469U-RP | Hardware Specs | QNAP](https://www.qnap.com/en/product/ts-469u-rp/specs/hardware),"eth0, eth1",,"PSU1, PSU2",
